equation_id,monograph_location,equation_or_object,meaning,primary_scripts,persistent_tables_or_inputs,reports
EQ-17,Phase VI,"x_i=(SAMI_i,internal signatures)","Similar-SAMI versus similar-interior tests","scripts/run_city_sami_internal_signature_experiment.py;scripts/run_city_sami_latent_classes.py;scripts/run_city_comparison_dossier.py","city residuals;AGEB/internal signature summaries","reports/city-sami-vs-internal-structure-*;reports/city-sami-latent-classes-*;reports/city-comparison-dossier-*"
EQ-18,Phase VII,"S_i*=argmax_S R_i^2(S)","Best local AGEB subsets across cities","scripts/run_city_best_local_ageb_subsets.py","AGEB counts and population by city","reports/city-best-local-ageb-subsets-*"
EQ-19,Phase VIII,"subset connectivity variables","OSM connectivity for selected lawful AGEB subsets","scripts/run_city_selected_subset_osm_stats.py;scripts/run_city_selected_subset_osm_connectivity.py;scripts/run_city_selected_subset_random_connectivity_baseline.py;scripts/run_city_selected_subset_connectivity_controls.py","OSM subset metrics;subset definitions","reports/city-selected-subset-osm-stats-*;reports/city-selected-subset-osm-connectivity-*;reports/city-selected-subset-connectivity-controls-*"
EQ-20,Phase VIII,"Y=C N^beta B^lambda K^mu S^nu J^eta","Exploratory extended subset power law","scripts/run_city_subset_extended_power_law.py","selected subset metrics and counts","reports/city-subset-extended-power-law-*"
EQ-21,Phase IX,"log E_i=alpha_X+beta_X log X_i+epsilon_i","City-only single-predictor screen","scripts/run_city_only_single_predictor_power_laws.py;scripts/run_single_predictor_power_laws.py","city population,dwellings,area,densities","reports/city-only-single-predictor-power-laws-*;reports/single-predictor-power-laws-*"
EQ-22,Phase IX,"D_i=C_D N_i^beta_D","Occupied-dwelling demographic benchmark","scripts/run_city_population_vs_dwellings_pack.py;scripts/run_city_population_dwellings_establishments_comparison.py","raw.population_units(city)","reports/city-population-vs-dwellings-*;reports/city-population-dwellings-establishments-comparison-*"
EQ-23,Phase IX,"N^beta rho^delta=N^(beta+delta) A^(-delta)","Dimensional critique of density","scripts/run_city_only_single_predictor_power_laws.py;scripts/run_multiscale_extended_power_law.py;scripts/run_multiscale_n_decomposition.py","city/AGEB support tables","reports/city-only-single-predictor-power-laws-*;reports/multiscale-*"
EQ-24,Phase X,"log E_i=alpha+beta log N_i+lambda log Z_i+epsilon_i","City network predictor tests","scripts/run_city_connectivity_power_laws.py;scripts/load_city_network_metrics.py;scripts/extract_city_osm_networks_to_db.py","derived.city_network_metrics;derived.city_network_nodes;derived.city_network_edges","reports/city-connectivity-power-laws-*"
EQ-25,Phase XI,"network topology feature vector z_i","City network/support morphology classes","scripts/run_city_network_typology.py","derived.city_network_metrics","reports/city-network-typology-*"
EQ-26,Phase XI,"log E_i=alpha_c+beta_c log N_i+epsilon_i","Class-conditioned scaling laws","scripts/run_city_class_scaling_laws.py","city counts;topology class assignments","reports/city-class-scaling-laws-*"
EQ-27,Phase XI,"M0,M1,M2 nested class tests","Tests class intercepts and slopes","scripts/run_city_class_scaling_laws.py","topology class assignments;city counts","reports/city-class-scaling-laws-*"
EQ-28,Phase XII,"SAMI_i=mu+gamma_c+eta_i","Residual position by topology class","scripts/run_city_class_sami_distributions.py","city residuals;topology classes","reports/city-class-sami-distributions-*"
EQ-29,Phase XIII,"n_i=log(N_i/N0); a_i,s_i,k_i,c_i","Centered dimensionless state coordinates","scripts/run_city_continuous_state_equation.py","derived.city_network_metrics;city counts","reports/city-continuous-state-equation-*"
EQ-30,Phase XIII,"log E_i=alpha+beta n_i+sum gamma_m z_im+n_i sum delta_m z_im+epsilon_i","Continuous network/support state equation","scripts/run_city_continuous_state_equation.py","derived.city_network_metrics;city counts","reports/city-continuous-state-equation-*"
EQ-31,Phase XIII,"beta_eff,i=beta+sum delta_m z_im","City-specific effective exponent","scripts/run_city_continuous_state_equation.py","fitted state model outputs","reports/city-continuous-state-equation-*"
EQ-32,Phase XIV,"p_i(j,l)=y_ij,l/sum y_ij,l","Spatial-economic contingency table","scripts/run_spatial_information_phase1.py;scripts/run_spatial_information_selection_details.py","derived.ageb_economic_mix;raw.admin_units;raw.population_units;raw.denue_establishments","reports/spatial-information-phase1-*;reports/spatial-information-selection-details-*"
EQ-33,Phase XIV,"I_i(J;Lambda)=sum p log[p/(p_j p_l)]","Mutual information: location and economic category","scripts/run_spatial_information_phase1.py","derived.city_spatial_information_summary;derived.city_spatial_information_overlap","reports/spatial-information-phase1-*"
EQ-34,Phase XIV,"w_jl=p(j,l)/(p(j)p(l))","Pair lift","scripts/run_spatial_information_selection_details.py","derived.city_spatial_information_pair_lift","reports/spatial-information-selection-details-*"
EQ-35,Phase XIV,"D(j)=sum_l p(l|j) log[p(l|j)/p(l)]","Unit-level specialization score","scripts/run_spatial_information_selection_details.py","derived.city_spatial_information_unit_scores","reports/spatial-information-selection-details-*"
EQ-36,Phase XIV,"D(l)=sum_j p(j|l) log[p(j|l)/p(j)]","Category-level localization score","scripts/run_spatial_information_selection_details.py","derived.city_spatial_information_category_scores","reports/spatial-information-selection-details-*"
EQ-37,Phase XIV,"H(j)=-sum_l p(l|j) log p(l|j)","Local economic entropy","scripts/run_spatial_information_selection_details.py","derived.city_spatial_information_unit_scores","reports/spatial-information-selection-details-*"
EQ-38,Phase XV,"I(M;Lambda)=I(A;Lambda)+I(M;Lambda|A)","Multiscale information decomposition","scripts/run_spatial_information_multiscale_decomposition.py","derived.ageb_spatial_information_within;derived.city_spatial_information_decomposition;experiments.spatial_information_decomposition_status","reports/spatial-information-multiscale-decomposition-*"
EQ-39,Phase XV,"share_between=I(A;Lambda)/I(M;Lambda); share_within=I(M;Lambda|A)/I(M;Lambda)","Between-AGEB and within-AGEB information shares","scripts/run_spatial_information_multiscale_decomposition.py;scripts/analyze_spatial_information_regimes.py","derived.city_spatial_information_decomposition;derived.city_spatial_information_regimes","reports/spatial-information-regimes-*"
EQ-40,Phase XV,"Delta_id=I(M;Lambda)-I(A;Lambda)-I(M;Lambda|A)","Decomposition identity gap","scripts/run_spatial_information_multiscale_decomposition.py;scripts/analyze_spatial_information_regimes.py","derived.city_spatial_information_decomposition;derived.city_spatial_information_regimes","reports/spatial-information-regimes-*"
EQ-41,Phase XVI,"m_i=log(I_i(M;Lambda)/I0); q_i=share_within_i-mean(share_within)","Information coordinates","scripts/run_spatial_information_state_equation.py","derived.city_spatial_information_decomposition;derived.city_spatial_information_regimes","reports/spatial-information-state-equation-*"
EQ-42,Phase XVI,"M0..M4 information-augmented state models","Nested state equation with network and internal information","scripts/run_spatial_information_state_equation.py","derived.city_spatial_information_state_features;derived.city_spatial_information_state_model_summary;derived.city_spatial_information_state_model_coefficients","reports/spatial-information-state-equation-*"
EQ-43,Phase XVI,"beta_eff,i=beta+delta_a a_i+delta_s s_i+delta_k k_i+delta_c c_i+psi_m m_i+psi_q q_i","Effective exponent with network and information modulation","scripts/run_spatial_information_state_equation.py","derived.city_spatial_information_state_city_parameters","reports/spatial-information-state-equation-*"
EQ-44,Phase XVII,"log Y_q^(r)=alpha(r)+beta(r) log N_q^(r)+epsilon_q^(r)","Coarse-graining support law","scripts/run_city_coarse_graining_laws.py","raw.population_units;raw.admin_units;raw.denue_establishments;derived.city_coarse_graining_scale_summary","reports/city-coarse-graining-laws-*"
EQ-45,Phase XVII,"within-city demeaned support law","Fixed-effect support law removing city intercepts","scripts/run_city_coarse_graining_laws.py","derived.city_coarse_graining_unit_fits;derived.city_coarse_graining_scale_summary","reports/city-coarse-graining-laws-*"
EQ-46,Phase XVII,"Delta beta_i; Delta R_i^2; Delta sigma_i","City path from manzana to AGEB support","scripts/run_city_coarse_graining_laws.py","derived.city_coarse_graining_paths;experiments.city_coarse_graining_status","reports/city-coarse-graining-laws-*"
EQ-47,Phase XVIII,"Delta R_i^2; Delta beta_i; Delta sigma_i+","Outcomes measuring scaling strengthening under aggregation","scripts/run_city_multiscale_synthesis.py","derived.city_coarse_graining_paths;derived.city_spatial_information_regimes","reports/city-multiscale-synthesis-*"
EQ-48,Phase XVIII,"m_i,q_i,n_i synthesis predictors","Information level, within-AGEB share, and city size predictors","scripts/run_city_multiscale_synthesis.py","derived.city_multiscale_synthesis_features","reports/city-multiscale-synthesis-*"
EQ-49,Phase XVIII,"M0..M3 synthesis models","Tests whether information and size explain coarse-graining gain","scripts/run_city_multiscale_synthesis.py","derived.city_multiscale_synthesis_model_summary;derived.city_multiscale_synthesis_model_coefficients","reports/city-multiscale-synthesis-*"
EQ-50,Phase XVIII,"quadrant classification","Regimes crossing sub-AGEB information and coarse-graining gain","scripts/run_city_multiscale_synthesis.py","derived.city_multiscale_synthesis_quadrants","reports/city-multiscale-synthesis-*"
EQ-51,Conclusions,"E~exp(alpha(z,i)) N^beta(z,i)","Final theoretical closure with network/support and internal-information state","scripts/run_city_continuous_state_equation.py;scripts/run_spatial_information_state_equation.py;scripts/run_city_multiscale_synthesis.py","final derived state and synthesis tables","reports/city-continuous-state-equation-*;reports/spatial-information-state-equation-*;reports/city-multiscale-synthesis-*"
